2021-07-10,"Narzędzia linii poleceń są niezastąpione w codziennej pracy przy komputerze. Można natrafić na zadanie, które trudno wykonać za pomocą serii kliknięć w programie graficznym, a łatwo skopiować linijkę z gotowego już rozwiązania."
2021-07-11,"Narzędzia Linii Poleceń: [Z Shell](https://www.zsh.org/) (zsh) to uniksowa powłoka która w pełni może zastąpić znanego basha. Zawiera wiele ulepszeń, z których najważniejszym jest system pluginów, który pozwala rozbudować konsolę o wyświetlanie stanu repozytorium z obecnego katalogu lub zmianę motywu konsoli!"
2021-07-12,"Narzędzia Linii Poleceń: [Oh My Zsh](https://ohmyz.sh/) to framework do zarządzania ustawieniami powłoki ZSH. Pozwala w łatwy sposób przenosić konfigurację między urządzeniami, instalować pluginy jedną linijką tekstu oraz otwiera drzwi do wielkiej bazy gotowych motywów."
2021-07-13,"Narzędzia Linii Poleceń: [tmux](https://github.com/tmux/tmux#welcome-to-tmux), czyli terminal multiplexer to narzędzie, które pozwoli dzielić okno terminala na okna i panele i wydawać w nich polecenia. Okna można przełączać, zmieniać ich rozmiar czy nawet chować w tło. Tmux można rozbudować za pomocą dodatkowych [wtyczek](https://github.com/tmux-plugins), które pozwalają np. na szybkie kopiowanie dowolnego tekstu widocznego na ekranie, zmianę wyglądu konsoli lub wyświetlanie czasu wyświetlanie stanu baterii laptopa wewnątrz terminala."
2021-07-14,"Narzędzia Linii Poleceń: [fzf](https://github.com/junegunn/fzf#-) - jak często wykonujesz ponownie te same polecenia? Codziennie? o kilka minut? Pewnie po prostu *często*. Jak wyglądało to polecenie? Znowu muszę kopiować z readme albo stackoverflow.. Dzięki fzf wszystkie te problemy mijają, gdyż narzędzie pozwala wygodnie przeszukiwać historię wydanych poleceń. Wystarczy, że pamiętasz fragment wydanego polecenia, naciśniesz `ctrl+r` i wybierzesz odpowiednie polecenie strzałkami!"
2021-07-15,"Narzędzia Linii Poleceń: [direnv](https://direnv.net/) Direnv pracuje jako wtyczka do powłoki która dba to, aby zawsze mieć dostęp do odpowiednich wersji narzędzi w katalogu, w którym pracujesz. Przyrząd obserwuje obecny katalog roboczy i przełącza ścieżki do odpowiednich narzędzi. Masz trzy różne projekty bazujące na różnych wersjach Pythona? Żaden problem! Nie musisz nic konfigurować, w chwili wydania polecenia `cd`, direnv to zauważy i przełączy ścieżkę do polecenia `python` na odpowiednią wersję."
2021-07-16,"Narzędzia Linii Poleceń: [tldr](https://tldr.sh/) to zbiór ściąg do popularnych poleceń. Nie pamiętasz składni polecenia `scp`? Napisz `tldr scp` i zrzuć okiem na ściągę z przykładami najczęstszych poleceń."
2021-07-17,"Narzędzia Linii Poleceń: [htop](https://htop.dev/) to zamiennik dla popularnego polecenia `top` (które wyświetla obecne procesy), tylko że kolorowy, zawierający dodatkowe informacje i skróty klawiszowe."
2021-07-18,"Narzędzia Linii Poleceń: [gtop](https://github.com/aksakalli/gtop) jest narzędziem do monitorowania zasobów systemu. Program rysuje barwne wykresy w czasie rzeczywistym, między innymi aktywności poszczególnych rdzeni procesora oraz obciążenia sieci. Co ciekawe, mimo że gtop żyje dość blisko systemu operacyjnego, to został napisany w javascripcie i instaluje się go poleceniem `npm i -g gtop`"
2021-07-19,"Narzędzia Linii Poleceń: [jq](https://stedolan.github.io/jq/) to szwajcarski scyzoryk do wydobywania informacji z plików JSON. Pozwala za pomocą krótkich wyrażeń wydobyć dowolne dane z pliku oraz przekształcić je do innej postaci."
2021-07-20,"Narzędzia Linii Poleceń: [bat](https://github.com/sharkdp/bat#readme) to zwierz, który pozwala wyświetlać zawartość pliku z dodatkowymi udogodnieniami, jak np. kolorowanie składni i numerowanie linii. Bat może zastąpić polecenie `cat` i został napisany w języku Rust!"
2021-07-21,"Narzędzia Linii Poleceń: [neovim](https://neovim.io/) to fork `vim`a, który tworzony jest przez społeczność opensource (682 współtwórców kodu) w przeciwieństwie do tradycyjnego `vim`a, gdzie za development odpowiada głównie sam autor (29 współtwórców kodu). Neovim zawiera masę dodatków względem `vim`a których nie sposób wymienić."
2021-07-22,"Narzędzia Linii Poleceń: [yadm](https://yadm.io/) Yet Another Dotfiles Manager to program do zarządzania swoimi `dotfiles`, czyli plikami konfiguracyjnymi jak `.bashrc`, czy `.tmux.conf`. Yadm używa repozytorium git do wersjonowania ustawień i zawiera podobne polecenia do tekstowego narzędzia git. Dzięki tej zabawce łatwo zsynchronizujesz ustawienia między różnymi maszynami."
2021-07-23,"Narzędzia Linii Poleceń: [The silver searcher](https://github.com/ggreer/the_silver_searcher#readme) służy do **bardzo szybkiego** wyszukiwania napisów w plikach. Jego działanie jest podobne do polecenia `ack`, czyli można mu np. podać ścieżkę do katalogu i jakiś wyraz, a program wydrukuje nam listę plików oraz linijki, w których znajduje się wybrane słowo."
2021-07-24,"Narzędzia Linii Poleceń: [Chocolatey](https://chocolatey.org/) pozwala poczuć namiastkę unixa w Windowsie. Aplikacja służy do instalowania i aktualizacji oprogramowania w systemach Windows z poziomu linii poleceń (powershella), podobnie do `apt` czy `brew`."
2021-07-25,"Narzędzia Linii Poleceń: [posh-git](https://github.com/dahlbyk/posh-git#readme) to moduł do powershella, który wyświetla stan repozytorium git z obecnego katalogu przy znaku zachęty linii poleceń."
